year;month;price
2016;December;82,14
2016;November;81,36
2016;October;79,92
2016;September;77,85
2016;August;78,09
2016;July;72,78
2016;June;77,84
2016;May;78,39
2016;April;78,19
2016;March;78,24
2016;February;76,21
2016;January;75,53
2015;December;78,65
2015;November;81,9
2015;October;80,39
2015;September;77,17
2015;August;74,81
2015;July;72,83
2015;June;76,38
2015;May;76,89
2015;April;78,21
2015;March;82,28
2015;February;81,28
2015;January;80,01
2014;December;83,53
2014;November;85,41
2014;October;83,29
2014;September;77,97
2014;August;81,24
2014;July;81,56
2014;June;84,13
2014;May;83,79
2014;April;85,36
2014;March;85,33
2014;February;83,72
2014;January;81,69
2013;December;82,81
2013;November;84,04
2013;October;82,41
2013;September;77,72
2013;August;80
2013;July;78,42
2013;June;78,81
2013;May;78,09
2013;April;75,64
2013;March;77,88
2013;February;81,91
2013;January;76,78
2012;December;80,98
2012;November;79,5
2012;October;76,63
2012;September;77,9
2012;August;75,19
2012;July;74,94
2012;June;76,12
2012;May;78,28
2012;April;72,3
2012;March;77,66
2012;February;81,75
2012;January;80,34
2011;December;80,16
2011;November;82,89
2011;October;80,18
2011;September;80,27
2011;August;76,24
2011;July;74,47
2011;June;78,32
2011;May;78,6
2011;April;78,72
2011;March;80,96
2011;February;81,74
2011;January;76,79
2010;December;79,65
2010;November;77,34
2010;October;79,78
2010;September;75,85
2010;August;73,06
2010;July;76,11
2010;June;75,26
2010;May;76,09
2010;April;78,32
2010;March;74,47
2010;February;78,78
2010;January;75,93
2009;December;78,92
2009;November;75,62
2009;October;74,22
2009;September;74,59
2009;August;74,62
2009;July;73,8
2009;June;76,43
2009;May;75,1
2009;April;76,37
2009;March;76,71
2009;February;75,732
2009;January;77,27
2018;January;76,69
2018;February;76,49
2018;March;74,94
2018;April;72,12
2018;May;74,48
2017;December;77,52
2017;November;78,93
2017;October;78,76
2017;September;77,13
2017;August;78,88
2017;July;75,52
2017;June;77,57
2017;May;77,03
2017;April;74,74
2017;March;78,24
2017;February;78,44
2017;January;76,66
