year,USD_per_CAD,CAD_per_USD,CAD_per_NZD,NZD_per_CAD,CAD_per_EUR,EUR_per_CAD
2018,0.7919259228,1.2627443694,0.8952760132,1.1169739669,1.5153340015,0.6599205185
2017,0.7441306693,1.34385,0.9308848950,1.0742466715,1.4137009647,0.7073631730
2016,0.7218131947,1.3854000000,0.9485141100,1.0542805736,1.5043243625,0.6647502526
2015,0.8607199928,1.1618180226,0.9057937608,1.1040040717,1.4055728326,0.7114537054
2014,0.8607199928,1.1618180226,0.8733867506,1.1449681362,1.4598120667,0.6850196836
2013,1.0066894621,0.9933549894,0.8222990185,1.2161026312,1.3115652757,0.7624477550
2012,0.9788566954,1.0216000000,0.7942940000,1.2589796725,1.3238914400,0.7553489431
2011,1.0023053263,0.9976999760,0.7786050395,1.2843482244,1.3359701529,0.7485197164
2010,0.9505251701,1.0520499945,0.7637883076,1.3092632999,1.5079558866,0.6631493725
2009,0.8204134051,1.2188976848,0.7026966936,1.4230890924,1.7031084475,0.5871616699
